"Lfd. Nr.","Gegenstand der Nachweisung","Alle Personen: erfasste Anzahl","Alle Personen: hochgerechnet 1000","Internetnutzer/-innen: erfasste Anzahl","Internetnutzer/-innen: hochgerechnet 1000","Internetnutzer/-innen letzte 3 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 3 Monate: hochgerechnet 1000","Internetnutzer/-innen letzte 12 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 12 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 3 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 3 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 12 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 12 Monate: hochgerechnet 1000","StartingAge","SurvYear","Geschlecht","GeschlechtNum"
"1","Deutschland ……………………………………………","22 949","74 235","20 763","64 496","20 225","62 651","20 489","63 515","13 661","42 863","15 545","48 884",10,2017,"Total",3
"2","Früheres Bundesgebiet (ohne Berlin)","18 403","59 701","16 711","52 136","16 320","50 789","16 522","51 462","11 125","35 025","12 634","39 851",10,2017,"Total",3
"3","Neue Länder einschl Berlin ","4 546","14 534","4 052","12 360","3 905","11 862","3 967","12 053","2 536","7 838","2 911","9 034",10,2017,"Total",3
"4","Alter: 10 - 15 ","2 396","4 504","2 344","4 403","2 315","4 350","2 340","4 395","537","1 004","692","1 303",10,2017,"Total",3
"5","Alter: 16 - 24 ","2 463","7 703","2 453","7 659","2 445","7 627","2 453","7 659","1 756","5 265","1 994","6 043",10,2017,"Total",3
"6","Alter: 25 - 44 ","5 188","20 613","5 159","20 444","5 130","20 310","5 147","20 385","4 473","17 412","4 806","18 810",10,2017,"Total",3
"7","Alter: 45 - 64 ","8 397","24 670","7 933","22 848","7 695","22 023","7 820","22 454","5 532","15 114","6 324","17 482",10,2017,"Total",3
"8","Alter: 65 Jahre und älter","4 505","16 746","2 874","9 143","2 640","8 341","2 729","8 621","1 363","4 068","1 729","5 246",10,2017,"Total",3
"9","Männlich - Komplett","10 820","36 581","9 944","32 967","9 698","32 072","9 819","32 477","6 484","21 904","7 449","25 242",10,2017,"Männlich",1
"10","Alter: 10 - 15 ","1 238","2 316","1 210","2 260","1 191","2 226","1 207","2 255","299","556","388","727",10,2017,"Männlich",1
"11","Alter: 16 - 24 ","1 262","4 030","1 259","4 023","1 254","3 999","1 259","4 023","905","2 792","1 032","3 234",10,2017,"Männlich",1
"12","Alter: 25 - 44 ","2 228","10 527","2 218","10 454","2 207","10 388","2 213","10 425","1 873","8 632","2 048","9 487",10,2017,"Männlich",1
"13","Alter: 45 - 64","3 870","12 278","3 674","11 439","3 553","10 962","3 613","11 178","2 557","7 500","2 921","8 712",10,2017,"Männlich",1
"14","Alter: 65 Jahre und älter","2 222","7 429","1 583","4 791","1 493","4 498","1 527","4 597","850","2 425","1 060","3 082",10,2017,"Männlich",1
"15","Weiblich - Komplett","12 129","37 654","10 819","31 529","10 527","30 578","10 670","31 037","7 177","20 958","8 096","23 642",10,2017,"Weiblich",2
"16","Alter: 10 - 15 ","1 158","2 188","1 134","2 143","1 124","2 125","1 133","2 141","238","448","304","575",10,2017,"Weiblich",2
"17","Alter: 16 - 24 ","1 201","3 673","1 194","3 636","1 191","3 629","1 194","3 636","851","2 473","962","2 809",10,2017,"Weiblich",2
"18","Alter: 25 - 44 ","2 960","10 086","2 941","9 990","2 923","9 922","2 934","9 961","2 600","8 781","2 758","9 323",10,2017,"Weiblich",2
"19","Alter: 45 - 64 ","4 527","12 391","4 259","11 408","4 142","11 061","4 207","11 276","2 975","7 614","3 403","8 770",10,2017,"Weiblich",2
"20","Alter: 65 Jahre und älter ","2 283","9 317","1 291","4 352","1 147","3 843","1 202","4 023","513","1 643","669","2 165",10,2017,"Weiblich",2
"21","Erwerbstätige 1…………………………………………………","10 834","39 994","10 660","39 132","10 528","38 599","10 612","38 921","8 471","30 361","9 335","33 675",16,2017,"Total",3
"22","Arbeitslose ","826","2 561","743","2 227","697","2 076","719","2 150","434","1 208","515","1 467",16,2017,"Total",3
"23","Schüler/-innen und Studierende ","1 957","4 320","1 951","4 299","1 947","4 287","1 950","4 294","1 388","2 838","1 574","3 264",16,2017,"Total",3
"24","Rentner/-innen und andere nicht erwerbstätige Personen","6 936","22 857","5 065","14 433","4 738","13 339","4 868","13 754","2 831","7 451","3 429","9 176",16,2017,"Total",3
"25","Bildungsstand - Niedrig ","2 475","14 476","1 961","10 743","1 898","10 316","1 931","10 533","1 039","5 744","1 259","6 960",16,2017,"Total",3
"26","Bildungsstand - Mittel ","10 409","38 730","9 163","33 744","8 853","32 626","8 989","33 095","6 453","23 840","7 352","27 097",16,2017,"Total",3
"27","Bildungsstand - Hoch ","7 669","16 525","7 295","15 605","7 159","15 357","7 229","15 491","5 632","12 274","6 242","13 525",16,2017,"Total",3
