"Lfd. Nr.","Gegenstand der Nachweisung","Alle Personen: erfasste Anzahl","Alle Personen: hochgerechnet 1000","Internetnutzer/-innen: erfasste Anzahl","Internetnutzer/-innen: hochgerechnet 1000","Internetnutzer/-innen letzte 3 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 3 Monate: hochgerechnet 1000","Internetnutzer/-innen letzte 12 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 12 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 3 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 3 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 12 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 12 Monate: hochgerechnet 1000","StartingAge","SurvYear","Geschlecht","GeschlechtNum"
"1","Deutschland ","20 430","74 028","19 186","67 953","18 810","66 487","18 979","67 137","13 750","49 197","15 196","54 469",10,2020,"Total",3
"2","Früheres Bundesgebiet (ohne Berlin)","16 074","59 593","15 120","54 834","14 847","53 739","14 972","54 231","10 987","40 150","12 115","44 321",10,2020,"Total",3
"3","Neue Länder einschl Berlin","4 356","14 436","4 066","13 119","3 963","12 748","4 007","12 906","2 763","9 047","3 081","10 148",10,2020,"Total",3
"4","Alter: 10 - 15","2 009","4 519","1 994","4 485","1 987","4 468","1 991","4 478","563","1 292","699","1 589",10,2020,"Total",3
"5","Alter: 16 - 24","1 976","7 699","1 974","7 691","1 961","7 633","1 969","7 669","1 544","5 903","1 709","6 586",10,2020,"Total",3
"6","Alter: 25 - 44","4 651","20 662","4 642","20 581","4 632","20 530","4 640","20 576","4 251","18 592","4 464","19 639",10,2020,"Total",3
"7","Alter: 45 - 64","7 199","24 508","7 018","23 668","6 896","23 173","6 957","23 420","5 443","17 696","6 034","19 886",10,2020,"Total",3
"8","Alter: 65 Jahre und älter","4 595","16 640","3 558","11 528","3 334","10 683","3 422","10 994","1 949","5 715","2 290","6 770",10,2020,"Total",3
"9","Männlich - Komplett zusammen","9 689","36 468","9 210","34 356","9 035","33 696","9 108","33 951","6 568","25 138","7 287","27 943",10,2020,"Männlich",1
"10","Alter: 10 - 15","1 057","2 322","1 052","2 310","1 050","2 306","1 051","2 309","282","634","356","789",10,2020,"Männlich",1
"11","Alter: 16 - 24","1 010","4 020","1 009","4 017","1 002","3 990","1 006","4 003","775","3 063","861","3 444",10,2020,"Männlich",1
"12","Alter: 25 - 44","2 042","10 526","2 037","10 484","2 033","10 464","2 036","10 480","1 826","9 285","1 948","9 944",10,2020,"Männlich",1
"13","Alter: 45 - 64","3 278","12 184","3 201","11 802","3 143","11 549","3 166","11 643","2 512","8 872","2 774","9 948",10,2020,"Männlich",1
"14","Alter: 65 Jahre und älter","2 302","7 416","1 911","5 743","1 807","5 387","1 849","5 517","1 173","3 283","1 348","3 818",10,2020,"Männlich",1
"15","Weiblich - Komplett zusammen","10 741","37 560","9 976","33 597","9 775","32 791","9 871","33 185","7 182","24 060","7 909","26 526",10,2020,"Weiblich",2
"16","Alter: 10 - 15","952","2 198","942","2 175","937","2 162","940","2 169","281","658","343","800",10,2020,"Weiblich",2
"17","Alter: 16 - 24","966","3 679","965","3 674","959","3 643","963","3 666","769","2 839","848","3 142",10,2020,"Weiblich",2
"18","Alter: 25 - 44","2 609","10 136","2 605","10 098","2 599","10 066","2 604","10 096","2 425","9 307","2 516","9 696",10,2020,"Weiblich",2
"19","Alter: 45 - 64","3 921","12 324","3 817","11 866","3 753","11 624","3 791","11 777","2 931","8 824","3 260","9 937",10,2020,"Weiblich",2
"20","Alter: 65 Jahre und älter","2 293","9 223","1 647","5 785","1 527","5 296","1 573","5 477","776","2 432","942","2 952",10,2020,"Weiblich",2
"21","Erwerbstätige 1)……………………………………………","9 863","41 413","9 797","41 050","9 753","40 850","9 779","40 970","8 438","34 817","9 045","37 562",16,2020,"Total",3
"22","Arbeitslose","584","2 260","555","2 132","529","2 032","542","2 078","334","1 236","410","1 551",16,2020,"Total",3
"23","Schüler/-innen und Studierende","1 562","3 635","1 560","3 627","1 553","3 608","1 558","3 623","1 215","2 641","1 343","2 968",16,2020,"Total",3
"24","Personen im Ruhestand und andere","6 412","22 200","5 280","16 659","4 988","15 529","5 109","15 989","3 200","9 210","3 699","10 799",16,2020,"Total",3
"25","niedrig","1 936","13 307","1 651","10 985","1 605","10 648","1 629","10 814","1 001","6 751","1 176","7 884",16,2020,"Total",3
"26","mittel","9 076","38 582","8 339","35 385","8 126","34 516","8 217","34 874","6 266","26 844","6 929","29 609",16,2020,"Total",3
"27","hoch","7 409","17 620","7 202","17 098","7 092","16 855","7 142","16 971","5 920","14 310","6 392","15 388",16,2020,"Total",3
