"Lfd. Nr.","Gegenstand der Nachweisung","Alle Personen: erfasste Anzahl","Alle Personen: hochgerechnet 1000","Internetnutzer/-innen: erfasste Anzahl","Internetnutzer/-innen: hochgerechnet 1000","Internetnutzer/-innen letzte 3 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 3 Monate: hochgerechnet 1000","Internetnutzer/-innen letzte 12 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 12 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 3 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 3 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 12 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 12 Monate: hochgerechnet 1000","StartingAge","SurvYear","Geschlecht","GeschlechtNum"
1,"Deutschland ……………………………………………",23257,73629,73629,63727,20554,61970,20794,62833,NA,NA,15612,47769,10,2016,"Total",3
2,"Früheres Bundesgebiet (ohne Berlin-West)",18596,59157,59157,51640,16552,50306,16726,50950,NA,NA,12657,39041,10,2016,"Total",3
3,"Neue Länder und Berlin ",4661,14472,14472,12087,4002,11664,4068,11883,NA,NA,2955,8728,10,2016,"Total",3
4,"Alter: 10 - 15 ",2452,4380,4380,4311,2393,4272,2409,4300,NA,NA,630,1143,10,2016,"Total",3
5,"Alter: 16 - 24 ",2466,7587,7587,7560,2450,7524,2458,7560,NA,NA,2042,6104,10,2016,"Total",3
6,"Alter: 25 - 44 ",5573,20265,20265,20026,5513,19878,5534,20004,NA,NA,5092,18110,10,2016,"Total",3
7,"Alter: 45 - 64 ",8284,24292,24292,22466,7599,21742,7704,22100,NA,NA,6197,17231,10,2016,"Total",3
8,"Alter: 65 Jahre und älter",4482,17105,17105,9364,2599,8553,2689,8869,NA,NA,1651,5181,10,2016,"Total",3
9,"Männlich - Komplett",10943,36105,36105,32411,9806,31501,9922,31934,NA,NA,7434,24446,10,2016,"Männlich",1
10,"Alter: 10 - 15 ",1291,2263,2263,2221,1254,2198,1265,2217,NA,NA,354,622,10,2016,"Männlich",1
11,"Alter: 16 - 24 ",1222,3928,3928,3912,1214,3896,1217,3912,NA,NA,1006,3103,10,2016,"Männlich",1
12,"Alter: 25 - 44 ",2358,10246,10246,10127,2325,10023,2338,10106,NA,NA,2130,9019,10,2016,"Männlich",1
13,"Alter: 45 - 64",3856,12088,12088,11285,3545,10846,3600,11045,NA,NA,2918,8676,10,2016,"Männlich",1
14,"Alter: 65 Jahre und älter",2216,7580,7580,4866,1468,4538,1502,4654,NA,NA,1026,3026,10,2016,"Männlich",1
15,"Weiblich - Komplett",12314,37524,37524,31316,10748,30469,10872,30899,NA,NA,8178,23323,10,2016,"Weiblich",2
16,"Alter: 10 - 15 ",1161,2117,2117,2091,1139,2075,1144,2083,NA,NA,276,521,10,2016,"Weiblich",2
17,"Alter: 16 - 24 ",1244,3658,3658,3647,1236,3628,1241,3647,NA,NA,1036,3001,10,2016,"Weiblich",2
18,"Alter: 25 - 44 ",3215,10020,10020,9899,3188,9855,3196,9898,NA,NA,2962,9091,10,2016,"Weiblich",2
19,"Alter: 45 - 64 ",4428,12204,12204,11181,4054,10896,4104,11055,NA,NA,3279,8556,10,2016,"Weiblich",2
20,"Alter: 65 Jahre und älter ",2266,9525,9525,4498,1131,4015,1187,4215,NA,NA,625,2154,10,2016,"Weiblich",2
21,"Erwerbstätige 1………………………………………………",10906,39211,39211,38268,10615,37820,10685,38107,NA,NA,9332,32676,16,2016,"Total",3
22,"Arbeitslose ",897,2718,2718,2321,747,2144,772,2262,NA,NA,558,1546,16,2016,"Total",3
23,"Schüler/-innen und Studierende ",2027,4297,4297,4286,2016,4274,2019,4283,NA,NA,1711,3484,16,2016,"Total",3
24,"Rentner/-innen und andere nicht erwerbstätige Personen",6975,23023,23023,14541,4783,13459,4909,13881,NA,NA,3381,8920,16,2016,"Total",3
25,"Bildungsstand - Niedrig ",2438,14361,14361,10534,1862,10111,1892,10327,NA,NA,1311,7159,16,2016,"Total",3
26,"Bildungsstand - Mittel ",11456,40463,40463,35377,9861,34298,10006,34824,NA,NA,8090,27994,16,2016,"Total",3
27,"Bildungsstand - Hoch ",6911,14425,14425,13506,6438,13288,6487,13382,NA,NA,5581,11472,16,2016,"Total",3
1,"Deutschland ……………………………………………",22949,74235,74235,64496,20225,62651,20489,63515,13661,42863,15545,48884,10,2017,"Total",3
2,"Früheres Bundesgebiet (ohne Berlin)",18403,59701,59701,52136,16320,50789,16522,51462,11125,35025,12634,39851,10,2017,"Total",3
3,"Neue Länder einschl Berlin ",4546,14534,14534,12360,3905,11862,3967,12053,2536,7838,2911,9034,10,2017,"Total",3
4,"Alter: 10 - 15 ",2396,4504,4504,4403,2315,4350,2340,4395,537,1004,692,1303,10,2017,"Total",3
5,"Alter: 16 - 24 ",2463,7703,7703,7659,2445,7627,2453,7659,1756,5265,1994,6043,10,2017,"Total",3
6,"Alter: 25 - 44 ",5188,20613,20613,20444,5130,20310,5147,20385,4473,17412,4806,18810,10,2017,"Total",3
7,"Alter: 45 - 64 ",8397,24670,24670,22848,7695,22023,7820,22454,5532,15114,6324,17482,10,2017,"Total",3
8,"Alter: 65 Jahre und älter",4505,16746,16746,9143,2640,8341,2729,8621,1363,4068,1729,5246,10,2017,"Total",3
9,"Männlich - Komplett",10820,36581,36581,32967,9698,32072,9819,32477,6484,21904,7449,25242,10,2017,"Männlich",1
10,"Alter: 10 - 15 ",1238,2316,2316,2260,1191,2226,1207,2255,299,556,388,727,10,2017,"Männlich",1
11,"Alter: 16 - 24 ",1262,4030,4030,4023,1254,3999,1259,4023,905,2792,1032,3234,10,2017,"Männlich",1
12,"Alter: 25 - 44 ",2228,10527,10527,10454,2207,10388,2213,10425,1873,8632,2048,9487,10,2017,"Männlich",1
13,"Alter: 45 - 64",3870,12278,12278,11439,3553,10962,3613,11178,2557,7500,2921,8712,10,2017,"Männlich",1
14,"Alter: 65 Jahre und älter",2222,7429,7429,4791,1493,4498,1527,4597,850,2425,1060,3082,10,2017,"Männlich",1
15,"Weiblich - Komplett",12129,37654,37654,31529,10527,30578,10670,31037,7177,20958,8096,23642,10,2017,"Weiblich",2
16,"Alter: 10 - 15 ",1158,2188,2188,2143,1124,2125,1133,2141,238,448,304,575,10,2017,"Weiblich",2
17,"Alter: 16 - 24 ",1201,3673,3673,3636,1191,3629,1194,3636,851,2473,962,2809,10,2017,"Weiblich",2
18,"Alter: 25 - 44 ",2960,10086,10086,9990,2923,9922,2934,9961,2600,8781,2758,9323,10,2017,"Weiblich",2
19,"Alter: 45 - 64 ",4527,12391,12391,11408,4142,11061,4207,11276,2975,7614,3403,8770,10,2017,"Weiblich",2
20,"Alter: 65 Jahre und älter ",2283,9317,9317,4352,1147,3843,1202,4023,513,1643,669,2165,10,2017,"Weiblich",2
21,"Erwerbstätige 1…………………………………………………",10834,39994,39994,39132,10528,38599,10612,38921,8471,30361,9335,33675,16,2017,"Total",3
22,"Arbeitslose ",826,2561,2561,2227,697,2076,719,2150,434,1208,515,1467,16,2017,"Total",3
23,"Schüler/-innen und Studierende ",1957,4320,4320,4299,1947,4287,1950,4294,1388,2838,1574,3264,16,2017,"Total",3
24,"Rentner/-innen und andere nicht erwerbstätige Personen",6936,22857,22857,14433,4738,13339,4868,13754,2831,7451,3429,9176,16,2017,"Total",3
25,"Bildungsstand - Niedrig ",2475,14476,14476,10743,1898,10316,1931,10533,1039,5744,1259,6960,16,2017,"Total",3
26,"Bildungsstand - Mittel ",10409,38730,38730,33744,8853,32626,8989,33095,6453,23840,7352,27097,16,2017,"Total",3
27,"Bildungsstand - Hoch ",7669,16525,16525,15605,7159,15357,7229,15491,5632,12274,6242,13525,16,2017,"Total",3
1,"Deutschland ",21930,74019,74019,66484,19750,64424,19984,65319,13308,43862,15120,50080,10,2018,"Total",3
2,"Früheres Bundesgebiet (ohne Berlin)",17513,59590,59590,53769,15860,52233,16048,52969,10816,35887,12279,40967,10,2018,"Total",3
3,"Neue Länder einschl Berlin ",4417,14430,14430,12715,3890,12191,3936,12350,2492,7975,2841,9112,10,2018,"Total",3
4,"Alter: 10 - 15 ",2312,4502,4502,4451,2269,4418,2284,4449,520,1004,673,1297,10,2018,"Total",3
5,"Alter: 16 - 24 ",2282,7804,7804,7784,2269,7725,2276,7766,1624,5394,1854,6210,10,2018,"Total",3
6,"Alter: 25 - 44 ",4930,20688,20688,20603,4904,20516,4910,20546,4300,17606,4618,19078,10,2018,"Total",3
7,"Alter: 45 - 64 ",8024,24621,24621,23394,7480,22506,7586,22912,5474,15686,6210,18072,10,2018,"Total",3
8,"Alter: 65 Jahre und älter",4382,16403,16403,10252,2828,9259,2928,9647,1390,4171,1765,5423,10,2018,"Total",3
9,"Männlich - Komplett",10318,36563,36563,33841,9432,32900,9523,33265,6350,22637,7213,25827,10,2018,"Männlich",1
10,"Alter: 10 - 15 ",1230,2327,2327,2299,1206,2281,1215,2299,307,574,388,725,10,2018,"Männlich",1
11,"Alter: 16 - 24 ",1102,4109,4109,4102,1097,4072,1099,4087,769,2775,890,3231,10,2018,"Männlich",1
12,"Alter: 25 - 44 ",2114,10571,10571,10511,2100,10462,2103,10479,1803,8758,1959,9604,10,2018,"Männlich",1
13,"Alter: 45 - 64",3693,12263,12263,11730,3467,11285,3504,11455,2613,8061,2905,9123,10,2018,"Männlich",1
14,"Alter: 65 Jahre und älter",2179,7293,7293,5200,1562,4800,1602,4945,858,2469,1071,3143,10,2018,"Männlich",1
15,"Weiblich - Komplett",11612,37456,37456,32642,10318,31524,10461,32054,6958,21225,7907,24253,10,2018,"Weiblich",2
16,"Alter: 10 - 15 ",1082,2175,2175,2151,1063,2137,1069,2150,213,430,285,572,10,2018,"Weiblich",2
17,"Alter: 16 - 24 ",1180,3695,3695,3682,1172,3653,1177,3678,855,2619,964,2978,10,2018,"Weiblich",2
18,"Alter: 25 - 44 ",2816,10118,10118,10092,2804,10054,2807,10067,2497,8848,2659,9474,10,2018,"Weiblich",2
19,"Alter: 45 - 64 ",4331,12358,12358,11664,4013,11221,4082,11457,2861,7626,3305,8949,10,2018,"Weiblich",2
20,"Alter: 65 Jahre und älter ",2203,9110,9110,5053,1266,4460,1326,4702,532,1702,694,2280,10,2018,"Weiblich",2
21,"Erwerbstätige 1) ……………………………………………",10591,40449,40449,39894,10366,39367,10427,39643,8387,31169,9228,34531,16,2018,"Total",3
22,"Arbeitslose ",720,2465,2465,2291,624,2098,642,2158,390,1245,471,1559,16,2018,"Total",3
23,"Schüler/-innen und Studierende ",1808,3940,3940,3933,1801,3922,1803,3929,1303,2652,1481,3036,16,2018,"Total",3
24,"Rentner/-innen und andere nicht erwerbstätige Personen",6499,22663,22663,15916,4690,14620,4828,15140,2708,7792,3267,9656,16,2018,"Total",3
25,"Bildungsstand - Niedrig ",2270,13797,13797,10927,1809,10413,1842,10638,973,5751,1208,7150,16,2018,"Total",3
26,"Bildungsstand - Mittel ",9782,38890,38890,34966,8521,33742,8659,34283,6173,24515,6995,27738,16,2018,"Total",3
27,"Bildungsstand - Hoch ",7566,16829,16829,16140,7151,15851,7199,15949,5642,12592,6244,13895,16,2018,"Total",3
1,"Deutschland ",21194,74013,74013,67242,19223,65231,19450,66073,13438,46244,15120,52264,10,2019,"Total",3
2,"Früheres Bundesgebiet (ohne Berlin)",16796,59565,59565,54340,15303,52805,15478,53486,10836,37853,12142,42603,10,2019,"Total",3
3,"Neue Länder einschl Berlin",4398,14447,14447,12902,3920,12426,3972,12587,2602,8391,2978,9662,10,2019,"Total",3
4,"Alter: 10 - 15",2113,4404,4404,4346,2058,4286,2078,4330,508,1065,656,1373,10,2019,"Total",3
5,"Alter: 16 - 24",2133,7745,7745,7705,2123,7696,2125,7701,1593,5701,1800,6483,10,2019,"Total",3
6,"Alter: 25 - 44",4810,20474,20474,20360,4775,20249,4792,20331,4301,17902,4578,19190,10,2019,"Total",3
7,"Alter: 45 - 64",7604,24619,24619,23639,7182,22894,7269,23217,5377,16510,6068,18905,10,2019,"Total",3
8,"Alter: 65 Jahre und älter",4534,16771,16771,11192,3085,10107,3186,10494,1659,5066,2018,6313,10,2019,"Total",3
9,"Männlich - Komplett zusammen",9868,36505,36505,34109,9089,33243,9180,33601,6338,23798,7135,26813,10,2019,"Männlich",1
10,"Alter: 10 - 15",1104,2274,2274,2241,1078,2218,1085,2234,283,587,354,728,10,2019,"Männlich",1
11,"Alter: 16 - 24",1057,4047,4047,4018,1052,4017,1053,4018,792,2992,899,3424,10,2019,"Männlich",1
12,"Alter: 25 - 44",2049,10456,10456,10410,2036,10372,2042,10396,1789,8954,1923,9639,10,2019,"Männlich",1
13,"Alter: 45 - 64",3452,12237,12237,11831,3277,11453,3308,11590,2500,8367,2798,9520,10,2019,"Männlich",1
